Actual_Values,Lower_5%,Upper_5%
8757.54,8630.8165,8800.3
7471.94,7533.17975,7575.062
7620.57,7540.19,7681.07525
10040.92,9861.9605,9927.135999999999
6886.14,6913.492,6951.45625
5908.24,5930.275000000001,5975.24
7335.63,7291.036499999999,7343.3
8751.64,8675.756,8731.4105
7524.07,7479.0395,7533.3255
7778.22,7663.2,7723.8045
9024.84,8908.399749999999,9037.1085
9399.37,9397.0555,9509.63
7276.92,7145.679,7185.912
10250.05,10212.9415,10278.28
9663.88,9653.11525,9731.315
6973.92,7030.51,7060.072999999999
7744.6,7632.12025,7744.05
9125.02,8991.62925,9038.94
7500.32,7428.1115,7485.904750000001
7191.02,7171.775000000001,7222.56
7285.73,6999.02,7184.21075
8603.15,8342.24,8395.651
7283.69,7225.9,7295.51
7579.24,7349.4,7429.4125
6750.76,6744.7345,6795.12
10852.58,10642.345,10855.79
7325.74,7239.97475,7322.5157500000005
6775.96,6699.953,6737.166749999999
7325.02,7275.542,7323.0
6851.48,6649.401,6760.21
7153.73,7086.370000000001,7207.49
6659.04,6641.36025,6667.12
7807.31,7735.192,7753.679
8260.21,8164.249,8228.153
6836.78,6780.863,6798.2855
8255.65,8152.78,8251.7295
9011.73,8846.286,8947.87075
8054.92,8022.1575,8061.11825
10644.71,10577.32,10677.1085
6551.17,6457.611,6597.38
5786.38,5656.6179999999995,5678.092750000001
7902.22,7749.532,7816.25525
8374.23,8147.313,8229.7965
8409.08,8336.062,8397.101
6906.58,6686.1155,6824.54525
6135.25,6072.523499999999,6110.5725
8420.1,8306.4715,8450.083
6284.27,6189.8547499999995,6290.81
7521.16,7524.380999999999,7561.46
7130.53,7042.971500000001,7128.80425
7447.7,7352.805,7418.72
9129.51,9031.192500000001,9093.7505
10677.04,10389.852499999999,10588.64
9267.41,9229.140000000001,9327.45
11482.31,11001.081250000001,11439.77
7736.13,7607.5215,7672.0495
8312.05,8200.906,8296.66575
9589.64,9361.671,9424.6235
6012.91,5982.775999999999,6020.08
7036.23,6966.12,7050.41975
5831.87,5799.2925,5837.298
6907.1,6837.933000000001,6884.62
6508.09,6466.427,6622.204000000001
8894.23,8712.6125,8825.63175
5893.76,5893.332,5956.623
11151.86,11212.215,11430.26
7006.05,6954.84,7062.21
10027.78,9953.6145,10024.7085
7365.71,7231.57225,7341.1745
8981.29,8805.76,8902.5165
9383.92,9521.467,9597.4
8871.05,8883.51525,8940.525
9619.23,9397.43,9556.83
8266.44,8122.5215,8210.49
6894.54,6779.344999999999,6877.5455
8176.3,7993.53,8077.3324999999995
7591.7,7529.76,7655.179
10198.94,10030.06,10149.517500000002
7497.26,7384.657,7494.897
8176.15,8020.3195,8215.222999999998
9020.69,8989.903999999999,9137.1815
5933.29,5802.77,5938.06
8006.63,7994.157,8024.63
8205.83,8009.3795,8177.63825
7571.94,7468.91,7591.209
6074.63,5983.7735,6042.6865
6100.05,5858.97,6021.62
6673.08,6455.52375,6579.91575
9251.81,9340.701749999998,9523.135
7869.19,7686.232000000001,7724.054
8961.84,8820.488,8976.034
8102.92,8031.446749999999,8073.57575
9038.49,8766.088500000002,8924.283
9474.99,9210.538750000002,9279.023
9040.14,8952.35,9029.10325
8929.19,8646.5435,8778.466
6420.43,6349.4905,6373.2880000000005
8034.57,7958.0,8026.784
6633.37,6448.3875,6534.23
7187.02,7095.7325,7167.843
10120.34,10141.84,10201.29
7264.75,7120.154500000001,7245.372
7795.09,7762.253000000001,7817.82
8107.68,8036.419,8150.022
8858.63,8646.70125,8794.49
8226.56,8146.67475,8217.12
8841.81,8637.755500000001,8754.82
10036.97,9943.258,10058.409000000001
7001.0,7027.843,7077.6
7789.12,7644.6465,7713.996499999999
8120.34,7958.403,8051.89
6148.21,6190.32,6227.527
7446.54,7415.74,7508.11
8566.43,8476.6095,8564.6375
7922.04,7883.666,7982.35225
6806.46,6772.983,6820.1265
9559.68,9305.787,9475.01
8422.27,8268.06,8366.7685
6268.91,6260.3895,6282.2305
8126.82,8123.67825,8180.49
6595.72,6491.288,6540.748
8335.03,8343.978,8394.08
6140.43,6068.07,6168.9
7616.55,7462.51025,7570.1825
8802.63,8609.922999999999,8676.16975
7180.8,7302.3795,7326.17
7200.22,6973.38,7109.97275
7380.07,7277.1,7306.96
7445.95,7373.3054999999995,7489.12
7217.81,7159.088500000001,7199.49
8148.14,8110.46,8136.459
8175.25,8077.24025,8105.15
12210.65,12047.87,12136.93
5806.5,5792.327,5844.487
6514.35,6355.31175,6432.01
8368.39,8320.370499999999,8390.29925
7819.42,7807.6595,7880.727000000001
8522.25,8509.519999999999,8569.3305
11151.66,10948.535750000001,11076.08
6526.84,6403.80975,6505.06
8048.85,8018.6675000000005,8112.4935000000005
6772.56,6688.8485,6734.79
7225.08,7177.375,7216.77
9155.31,9032.5665,9124.420750000001
5896.48,5786.647,5859.79
6528.04,6548.03,6590.45
8622.34,8584.9375,8684.88
8370.75,8383.53,8516.4995
9431.37,9095.58,9331.88375
6610.76,6586.1990000000005,6602.637250000001
